Region,Code,Name,Complaints
East of England,5P3,East & North Hertfordshire PCT,85
East of England,5P4,West Hertfordshire PCT,76
East of England,5PN,Peterborough PCT,64
East of England,5PP,Cambridgeshire PCT,108
East of England,5PQ,Norfolk PCT,142
East of England,5PR,Great Yarmouth & Waveney PCT,76
East of England,5PT,Suffolk PCT,94
East of England,5PV,West Essex PCT,80
East of England,5PW,North East Essex PCT,83
East of England,5PX,Mid Essex PCT,39
East of England,5PY,South West Essex PCT,70
East of England,RAJ,Southend Hospital NHS Trust,427
East of England,RC1,Bedford Hospitals NHS Trust,119
East of England,RC9,Luton And Dunstable Hospital NHS Trust,412
East of England,RCX,Kings Lynn And Wisbech Hospitals NHS Trust,343
East of England,RDD,Basildon And Thurrock University Hospitals NHS Foundation Trust,268
East of England,RDE,Essex Rivers Healthcare NHS Trust,672
East of England,RGM,Papworth Hospital NHS Foundation Trust,46
East of England,RGN,Peterborough Hospitals NHS Foundation Trust,372
East of England,RGP,James Paget Healthcare NHS Trust,283
East of England,RGQ,Ipswich Hospital NHS Trust,279
East of England,RGR,West Suffolk Hospitals NHS Trust,204
East of England,RGT,Cambridge University Hospital NHS Foundation Trust,535
East of England,RM1,Norfolk And Norwich University Hospital NHS Trust,676
East of England,RMY,Norfolk & Waveney Mental Health Partnership NHS Trust,18
East of England,RQ8,Mid Essex Hospital Services NHS Trust,459
East of England,RQQ,Hinchingbrooke Health Care NHS Trust,159
East of England,RQW,Princess Alexandra Hospital NHS Trust,522
East of England,RRD,North Essex Mental Health Partnership NHS Trust,81
East of England,RT6,Suffolk Mental Health Partnership NHS Trust,116
East of England,RV7,Bedfordshire And Luton Community NHS Trust,45
East of England,RWG,West Hertfordshire Hospitals NHS Trust,452
East of England,RWH,East And North Hertfordshire NHS Trust,1061
East of England,RWR,Hertfordshire Partnership NHS Trust,137
East of England,RYC,East Of England Ambulance Service NHS Trust,362
London,5A4,Havering PCT,117
London,5A5,Kingston PCT,11
London,5A7,Bromley PCT,59
London,5A8,Greenwich Teaching PCT,19
London,5A9,Barnet PCT,94
London,5AT,Hillingdon PCT,50
London,5C1,Enfield PCT,188
London,5C2,Barking & Dagenham PCT,106
London,5C3,City & Hackney Teaching PCT,58
London,5C4,Tower Hamlets PCT,82
London,5C5,Newham PCT,59
London,5C9,Haringey Teaching PCT,44
London,5H1,Hammersmith And Fulham PCT,21
London,5HX,Ealing PCT,43
London,5HY,Hounslow PCT,55
London,5K5,Brent Teaching PCT,88
London,5K6,Harrow PCT,47
London,5K7,Camden PCT,105
London,5K8,Islington PCT,90
London,5K9,Croydon PCT,42
London,5LA,Kensington And Chelsea PCT,29
London,5LC,Westminster PCT,65
London,5LD,Lambeth PCT,52
London,5LE,Southwark PCT,76
London,5LF,Lewisham PCT,82
London,5LG,Wandsworth PCT,115
London,5M6,Richmond And Twickenham PCT,37
London,5M7,Sutton & Merton PCT,90
London,5NA,Redbridge PCT,52
London,5NC,Waltham Forest PCT,164
London,RAL,Royal Free Hampstead NHS Trust,1008
London,RAN,Royal National Orthopaedic Hospital NHS Trust,173
London,RAP,North Middlesex University Hospital NHS Trust,296
London,RAS,Hillingdon Hospital NHS Trust,367
London,RAX,Kingston Hospital NHS Trust,439
London,RC3,Ealing Hospital NHS Trust,230
London,RF4,"Barking, Havering And Redbridge Hospitals NHS Trust",940
London,RFW,West Middlesex University NHS Trust,312
London,RG2,Queen Elizabeth Hospital NHS Trust,292
London,RG3,Bromley Hospitals NHS Trust,426
London,RGC,Whipps Cross University Hospital NHS Trust,304
London,RGZ,Queen Mary's Sidcup NHS Trust,265
London,RJ1,Guy's And St Thomas's NHS Foundation Trust,896
London,RJ2,Lewisham Hospital NHS Trust,315
London,RJ6,Mayday Healthcare NHS Trust,518
London,RJ7,St George's Healthcare NHS Trust,725
London,RJZ,King's College Hospital NHS Trust,932
London,RKE,Whittington Hospital NHS Trust,245
London,RKL,West London Mental Health NHS Trust,220
London,RNH,Newham Univserity Hospital NHS Trust,282
London,RNJ,Barts And The London NHS Trust,1066
London,RP4,Great Ormond Street Hospital For Children NHS Trust,142
London,RPG,Oxleas NHS Trust,96
London,RPY,Royal Marsden NHS Foundation Trust,74
London,RQM,Chelsea And Westminster Healthcare NHS Trust,458
London,RQY,South West London And St George's Mental Health NHS Trust,280
London,RRP,"Barnet, Enfield And Haringey Mental Health NHS Trust",184
London,RRU,London Ambulance Service NHS Trust,371
London,RRV,University College London Hospitals NHS  Foundation Trust,717
London,RT3,Royal Brompton And Harefield NHS Trust,71
London,RV3,Central And North West London Mental Health NHS Trust,206
London,RV5,South London And Maudsley NHS Trust,518
London,RV8,North West London Hospitals NHS Trust,719
London,RVL,Barnet And Chase Farm Hospitals NHS Trust,372
London,RVR,Epsom And St Helier NHS Trust,467
London,RWK,East London And The City Mental Health NHS Trust,255
London,RYJ,Imperial College Health Care Trust,1006
London,TAK,Bexley Care Trust,57
South East Coast,5L3,Medway PCT,193
South East Coast,5LQ,Brighton And Hove City PCT,53
South East Coast,5P5,Surrey PCT,286
South East Coast,5P6,West Sussex PCT,188
South East Coast,5P7,East Sussex Downs & Weald PCT,115
South East Coast,5P8,Hastings & Rother PCT,37
South East Coast,5P9,West Kent PCT,172
South East Coast,5QA,Eastern & Coastal Kent PCT,200
South East Coast,RA2,Royal Surrey County Hospital NHS Trust,319
South East Coast,RDR,South Downs Health NHS Trust,168
South East Coast,RDU,Frimley Park Hospital NHS Foundation Trust,297
South East Coast,RN7,Dartford And Gravesham NHS Trust,354
South East Coast,RPA,Medway NHS Trust,476
South East Coast,RPC,Queen Victoria Hospital NHS Foundation Trust,67
South East Coast,RPL,Worthing And Southlands Hospitals NHS Trust,347
South East Coast,RPR,Royal West Sussex NHS Trust,204
South East Coast,RTK,Ashford And St Peter's Hospitals NHS Trust,401
South East Coast,RTP,Surrey And Sussex Healthcare NHS Trust,549
South East Coast,RVV,East Kent Hospitals NHS Trust,731
South East Coast,RWF,Maidstone And Tunbridge Wells NHS Trust,717
South East Coast,RX2,Sussex Partnership NHS Trust,264
South East Coast,RXC,East Sussex Hospitals NHS Trust,481
South East Coast,RXH,Brighton And Sussex University Hospitals NHS Trust,1030
South East Coast,RXX,Surrey And Borders Partnership NHS Trust,103
South East Coast,RXY,Kent & Medway NHS and Social Care Partnership Trust,149
South East Coast,RYD,South East Coast Ambulance Service NHS Trust,129
South Central,5CQ,Milton Keynes PCT,157
South Central,5FE,Portsmouth City Teaching PCT,260
South Central,5L1,Southampton City PCT,89
South Central,5QC,Hampshire PCT,222
South Central,5QD,Buckinghamshire PCT,144
South Central,5QE,Oxford PCT,78
South Central,5QF,Berkshire West PCT,66
South Central,5QG,Berkshire East PCT,45
South Central,5QT,Isle Of Wight PCT,299
South Central,RBF,Nuffield Orthopaedic Centre NHS Trust,87
South Central,RD7,Heatherwood And Wexham Park Hospitals NHS Trust,462
South Central,RHM,Southampton University Hospitals NHS Trust,741
South Central,RHU,Portsmouth Hospitals NHS Trust,1119
South Central,RHX,Oxfordshire Learning Disability NHS Trust,7
South Central,RN1,Winchester And Eastleigh Healthcare NHS Trust,253
South Central,RTH,Oxford Radcliffe Hospital NHS Trust,499
South Central,RW1,Hampshire Partnership NHS Trust,99
South Central,RWX,Berkshire Healthcare NHS Trust,96
South Central,RXQ,Buckinghamshire Hospitals NHS Trust,655
South Central,RYE,South Central Ambulance Service NHS Trust,130
South West,5A3,South Gloucestershire PCT,37
South West,5F1,Plymouth Teaching PCT,130
South West,5FL,Bath & North East Somerset PCT,37
South West,5K3,Swindon PCT,23
South West,5M8,North Somerset PCT,19
South West,5QH,Gloucestershire PCT,214
South West,5QJ,Bristol PCT,75
South West,5QK,Wiltshire PCT,111
South West,5QL,Somerset PCT,80
South West,5QM,Dorset PCT,83
South West,5QN,Bournemouth & Poole PCT,51
South West,5QP,Cornwall & Isles Of Scilly PCT,76
South West,5QQ,Devon PCT,147
South West,RA3,Weston Area Health NHS Trust,172
South West,RA4,East Somerset NHS Trust,254
South West,RA7,United Bristol Healthcare NHS Trust,558
South West,RA9,South Devon Health Care NHS Trust,200
South West,RBA,Taunton And Somerset NHS Trust,459
South West,RBD,West Dorset General Hospitals NHS Trust,429
South West,RBZ,Northern Devon Healthcare NHS Trust,224
South West,RD1,Royal United Hospital Bath NHS Trust,352
South West,REF,Royal Cornwall Hospitals NHS Trust,293
South West,RH5,Somerset Partnership NHS And Social Care Trust,64
South West,RH8,Royal Devon And Exeter Healthcare NHS Foundation Trust,351
South West,RJ8,Cornwall Partnership NHS Trust,86
South West,RK9,Plymouth Hospitals NHS Trust,860
South West,RN3,Swindon And Marlborough NHS Trust,199
South West,RNZ,Salisbury Health Care NHS Trust,371
South West,RTE,Gloucestershire Hospitals NHS Foundation Trust,648
South West,RTQ,Gloucestershire Partnership NHS Trust,51
South West,RVJ,North Bristol NHS Trust,690
South West,RVN,Avon And Wiltshire Mental Health Partnership NHS Trust,204
South West,RWV,Devon Partnership NHS Trust,120
South West,RX5,Great Western Ambulance Service NHS Trust,249
South West,RYF,South Western Ambulance Service NHS Trust,262
South West,TAL,Torbay Care Trust,26
Other,RYH,NHS Direct NHS Trust,362
